stage=reorder H=1024 W=1024 K=3 seed=1234 iters=10 time(median)=2.208ms GFLOP/s=8.55
--- per-run average over 10 iterations (stage=reorder) ---
                             <not supported>
                             <not supported>
task-clock                   total=37.05            avg/run=3.70
context-switches             total=2                avg/run=0.20
cpu-migrations               total=1                avg/run=0.10
page-faults                  total=3199             avg/run=319.90
cpu_atom/cycles/             total=134645442        avg/run=13464544.20
cpu_core/cycles/             total=179718053        avg/run=17971805.30
cpu_atom/ref-cycles/         total=88776731         avg/run=8877673.10
cpu_core/ref-cycles/         total=88702659         avg/run=8870265.90
cpu_atom/instructions/       total=369867467        avg/run=36986746.70
cpu_core/instructions/       total=1040768924       avg/run=104076892.40
cpu_atom/stalled-cycles-frontend/ <not supported>
cpu_core/stalled-cycles-frontend/ <not supported>
cpu_atom/stalled-cycles-backend/ <not supported>
cpu_core/stalled-cycles-backend/ <not supported>
cpu_atom/branches/           total=43451704         avg/run=4345170.40
cpu_core/branches/           total=149443105        avg/run=14944310.50
cpu_atom/branch-misses/      total=1894616          avg/run=189461.60
cpu_core/branch-misses/      total=167981           avg/run=16798.10
cpu_atom/cache-references/   total=454583           avg/run=45458.30
cpu_core/cache-references/   total=3268399          avg/run=326839.90
cpu_atom/cache-misses/       total=325977           avg/run=32597.70
cpu_core/cache-misses/       total=81051            avg/run=8105.10
cpu_atom/L1-dcache-loads/    total=25526711         avg/run=2552671.10
cpu_core/L1-dcache-loads/    total=302191054        avg/run=30219105.40
cpu_atom/L1-dcache-load-misses/ <not supported>
cpu_core/L1-dcache-load-misses/ total=2134208          avg/run=213420.80
cpu_atom/L1-dcache-stores/   total=18997813         avg/run=1899781.30
cpu_core/L1-dcache-stores/   total=152399252        avg/run=15239925.20
cpu_atom/L1-dcache-store-misses/ <not supported>
cpu_core/L1-dcache-store-misses/ <not supported>
cpu_atom/L1-icache-load-misses/ total=35965            avg/run=3596.50
cpu_core/L1-icache-load-misses/ total=79674            avg/run=7967.40
cpu_atom/LLC-loads/          total=11742            avg/run=1174.20
cpu_core/LLC-loads/          total=79951            avg/run=7995.10
cpu_atom/LLC-load-misses/    total=0                avg/run=0.00
cpu_core/LLC-load-misses/    total=287              avg/run=28.70
cpu_atom/LLC-stores/         total=1154645          avg/run=115464.50
cpu_core/LLC-stores/         total=591667           avg/run=59166.70
cpu_atom/LLC-store-misses/   total=40233            avg/run=4023.30
cpu_core/LLC-store-misses/   total=0                avg/run=0.00
cpu_atom/dTLB-loads/         total=72758317         avg/run=7275831.70
cpu_core/dTLB-loads/         total=309837886        avg/run=30983788.60
cpu_atom/dTLB-load-misses/   total=19897            avg/run=1989.70
cpu_core/dTLB-load-misses/   total=5451             avg/run=545.10
cpu_atom/dTLB-stores/        total=61604705         avg/run=6160470.50
cpu_core/dTLB-stores/        total=156207190        avg/run=15620719.00
cpu_atom/dTLB-store-misses/  total=9464             avg/run=946.40
cpu_core/dTLB-store-misses/  total=2012             avg/run=201.20
cpu_atom/iTLB-loads/         <not supported>
cpu_core/iTLB-loads/         <not supported>
cpu_atom/iTLB-load-misses/   total=200628           avg/run=20062.80
cpu_core/iTLB-load-misses/   total=46               avg/run=4.60

--- derived metrics ---
