# started on Mon Sep  7 06:07:33 2026

52950821,,cpu_core/instructions/,290148931,62.00,,
36606814,,cpu_core/cycles/,348169916,75.00,,
7464952,,cpu_core/L1-dcache-loads/,347522696,74.00,,
108109,,cpu_core/L1-dcache-load-misses/,346904913,74.00,1.45,of all L1-dcache accesses
69168,,cpu_core/LLC-loads/,347212127,74.00,,
2000,,cpu_core/LLC-load-misses/,348180224,75.00,2.89,of all LL-cache accesses
1573520,,cpu_core/l2_request.all/,232309763,50.00,,
973698,,cpu_core/l2_request.miss/,231964891,50.00,,
