# started on Mon Sep  7 06:07:35 2026

441121299,,cpu_core/instructions/,290055900,62.00,,
136564019,,cpu_core/cycles/,349567894,74.00,,
82371202,,cpu_core/L1-dcache-loads/,350643031,75.00,,
3258947,,cpu_core/L1-dcache-load-misses/,351339613,75.00,3.96,of all L1-dcache accesses
90538,,cpu_core/LLC-loads/,349936010,74.00,,
2928,,cpu_core/LLC-load-misses/,349774797,74.00,3.23,of all LL-cache accesses
13083573,,cpu_core/l2_request.all/,232818514,49.00,,
1978877,,cpu_core/l2_request.miss/,232278593,49.00,,
