# started on Mon Sep  7 06:04:29 2026

122567,,cpu_core/instructions/,5606731,58.00,,
451570,,cpu_core/cycles/,7533159,79.00,,
34002,,cpu_core/L1-dcache-loads/,7527422,79.00,,
2770,,cpu_core/L1-dcache-load-misses/,7559025,79.00,8.15,of all L1-dcache accesses
1880,,cpu_core/LLC-loads/,7572131,79.00,,
86,,cpu_core/LLC-load-misses/,7446484,78.00,4.57,of all LL-cache accesses
29304,,cpu_core/l2_request.all/,3923452,41.00,,
20344,,cpu_core/l2_request.miss/,4019015,42.00,,
